1,Princeton University Princeton,NJ,7,6,88,59165,37183,0,0,5552
2,Yale University New Haven,CT,7,6,90,60850,44268,0,0,13009
3,Harvard University Cambridge,MA,6,7,86,59607,41975,0,0,12560
4,Rice University Houston,TX,17,6,79,54766,34565,11833,25,17856
5,Duke University Durham,NC,12,7,87,61878,39275,19823,23,18456
6,Vanderbilt University Nashville,TN,13,8,87,60294,39373,23789,19,20303
7,California Institute of Technology Pasadena,CA,11,3,82,57603,35474,0,0,15010
8,Massachusetts Institute of Technology Cambridge,MA,8,8,84,59240,36272,0,0,17891
9,Stanford University Stanford,CA,6,5,76,59888,40460,0,0,16640
10,Dartmouth College Hanover,NH,10,8,87,63293,41376,0,0,15660
11,University of Pennsylvania Philadelphia,PA,12,6,88,62352,38258,0,0,19798
12,Cornell University Ithaca,NY,16,9,87,61834,35626,0,0,20577
13,Brown University Providence,RI,9,8,84,60848,38738,0,0,24382
14,Emory University Atlanta,GA,26,8,84,58980,36304,20900,6,26055
15,University of Chicago Chicago,IL,9,6,88,65386,36549,10205,33,23978
16,Georgetown University Washington,DC,17,11,88,61968,36663,0,0,24064
17,Johns Hopkins University Baltimore,MD,17,12,88,63029,34536,32787,2,22808
18,University of Notre Dame Notre Dame,IN,22,10,90,60511,30689,10014,12,27827
19,Washington University in St. Louis St. Louis,MO,16,8,88,61804,32685,7636,18,23082
20,Northwestern University Evanston,IL,14,7,86,63554,35432,2414,7,24334
21,Tufts University Medford,MA,19,9,87,62077,34853,500,2,24266
22,Boston College Chestnut Hill,MA,32,13,89,61622,32330,18337,3,21139
23,Brigham Young University Provo,UT,49,19,31,18322,4790,3696,43,15769
24,Clark University Worcester,MA,62,10,76,49330,26375,17456,68,24990
25,Lehigh University Bethlehem,PA,31,10,73,57770,31860,11877,10,33309
26,Wake Forest University Winston-Salem,NC,35,11,82,60138,32116,17034,18,35902
27,University of Southern California Los Angeles,CA,20,9,78,63114,29262,17953,27,28474
28,University of Rochester Rochester,NY,36,10,77,61978,34357,12030,42,29914
29,Yeshiva University New York,NY,82,6,65,51204,25388,21793,36,22718
30,Stevens Institute of Technology Hoboken,NJ,38,10,45,60530,14562,9567,66,14315
31,Villanova University Villanova,PA,49,12,86,57433,27914,13691,11,35853
32,Bentley University Waltham,MA,44,14,81,57660,27803,16165,31,31208
33,Brandeis University Waltham,MA,37,10,86,62025,30948,19923,11,28647
